payment_id,order_id,payment_method,payment_date,amount,status
1,1,Visa,2024-01-03 17:38:19.840194,4279.08,Captured
2,2,Mastercard,2020-03-02 09:57:38.041511,2295.09,Captured
3,3,Stripe,2022-08-04 12:22:05.727470,3730.05,Captured
4,4,Mastercard,2022-07-15 00:18:40.544973,1146.78,Captured
5,5,Stripe,2022-07-24 05:14:13.370067,147.7,Captured
6,6,Mastercard,2021-03-18 18:42:36.475582,3600.2699999999995,Captured
7,7,Mastercard,2023-05-19 17:32:55.639927,1693.46,Captured
8,8,Stripe,2021-02-15 23:01:54.015268,9905.88,Captured
9,9,Stripe,2022-01-11 02:35:54.757593,4540.3099999999995,Captured
10,10,Stripe,2020-06-17 21:30:52.602402,11052.949999999999,Captured
11,11,Visa,2023-07-16 01:07:02.261941,475.36,Captured
12,12,Visa,2024-02-21 10:56:52.732660,1074.42,Captured
13,13,Visa,2022-12-10 10:27:23.073990,3399.92,Captured
14,14,Visa,2022-10-22 08:07:29.231045,5078.18,Captured
15,15,Visa,2023-02-03 14:04:11.278424,2050.05,Captured
16,16,Visa,2020-10-06 00:56:54.354996,1374.69,Captured
17,17,PayPal,2020-12-15 13:39:35.015782,6881.42,Captured
18,18,PayPal,2020-09-04 23:46:18.540470,800.18,Captured
19,19,Visa,2023-10-15 16:53:26.920590,3874.98,Captured
20,20,Mastercard,2022-04-11 12:11:40.592767,1220.34,Captured
21,21,Visa,2023-05-28 08:50:18.572871,2044.56,Captured
22,22,Mastercard,2023-01-08 21:02:27.055208,2002.7999999999997,Captured
23,23,Visa,2022-01-25 16:10:51.111398,4548.46,Captured
24,24,Visa,2023-02-28 09:52:27.326954,2600.59,Captured
25,25,Mastercard,2022-06-17 14:11:11.510927,1203.4,Captured
26,26,PayPal,2022-07-20 11:45:02.556123,1489.8,Captured
27,27,Visa,2024-11-29 08:32:50.187459,429.44,Captured
28,28,PayPal,2024-05-06 12:42:34.094587,658.0,Captured
29,29,Stripe,2022-12-23 13:22:41.434359,5465.1,Captured
30,30,Stripe,2025-02-28 12:09:06.849610,4788.34,Captured
31,31,Mastercard,2024-04-10 08:01:16.795352,1648.1,Captured
32,32,Stripe,2022-01-21 16:03:37.131284,2357.5,Captured
33,33,Visa,2021-12-16 21:19:37.914548,4601.3099999999995,Captured
34,34,Stripe,2022-07-14 17:04:20.076770,2102.79,Captured
35,35,Stripe,2020-05-01 02:57:19.744087,1777.37,Captured
36,36,Visa,2023-09-06 16:20:53.762759,2949.8199999999997,Captured
37,37,PayPal,2020-06-28 12:24:09.220847,2247.46,Captured
38,38,Visa,2021-11-08 22:57:58.247637,310.8,Captured
39,39,Visa,2021-05-23 23:11:57.947067,696.36,Captured
40,40,Mastercard,2020-04-28 05:53:22.631358,1175.9,Captured
41,41,Visa,2022-01-08 16:35:53.084083,2405.58,Captured
42,42,Stripe,2021-04-30 08:29:14.227741,5210.72,Captured
43,43,Mastercard,2020-06-25 06:56:09.318131,2053.32,Captured
44,44,Mastercard,2023-10-06 03:41:07.650024,3920.3999999999996,Captured
45,45,Stripe,2021-08-07 17:49:07.554809,890.6300000000001,Captured
46,46,PayPal,2023-03-05 18:32:45.144332,7570.4400000000005,Captured
47,47,Visa,2022-04-07 21:47:14.612659,2845.29,Captured
48,48,Visa,2020-12-06 12:59:39.347911,1468.71,Captured
49,49,PayPal,2023-04-25 12:50:27.863961,323.99,Captured
50,50,Stripe,2022-12-08 15:42:29.684055,2014.4499999999998,Captured
51,51,PayPal,2020-10-14 17:11:04.463423,6146.5,Captured
52,52,Mastercard,2024-01-19 11:42:24.258922,1483.14,Captured
53,53,Mastercard,2024-03-25 15:04:35.519910,3419.5,Captured
