order_id,product_id,quantity,unit_price
1,10693,4,371.58
1,18831,6,285.6
1,16713,6,179.86
2,14272,7,327.87
3,11333,8,332.1
3,15315,5,214.65
4,11863,1,478.35
4,15430,7,95.49
5,6603,1,147.7
6,15988,9,400.03
7,9387,1,326.66
7,8258,8,170.85
8,17068,6,205.7
8,199,6,431.58
8,2641,8,268.38
8,412,9,437.24
9,13810,9,128.87
9,11139,8,112.79
9,16833,6,372.15
9,15241,1,245.26
10,9266,6,457.13
10,12071,5,406.31
10,6445,9,161.48
10,18161,10,482.53
11,17436,4,108.19
11,1491,2,21.3
12,4128,3,358.14
13,13823,8,102.57
13,15747,10,26.81
13,5559,7,330.18
14,7393,10,314.49
14,15211,4,483.32
15,6960,9,202.19
15,19398,6,29.22
15,3427,6,9.17
16,5094,4,194.34
16,6419,9,66.37
17,17439,8,135.71
17,12595,10,127.74
17,7659,10,435.91
17,5652,1,159.24
18,1919,2,400.09
19,6351,9,382.0
19,5170,3,145.66
20,17323,6,203.39
21,18828,6,340.76
22,10891,3,348.46
22,16417,2,478.71
23,3508,5,80.84
23,19214,8,442.11
23,14883,3,202.46
24,12340,5,482.97
24,15679,1,185.74
25,3282,2,447.84
25,14210,2,153.86
26,9250,8,151.34
26,12213,2,139.54
27,8732,1,429.44
28,9282,1,219.78
28,1332,1,438.22
29,16339,3,401.66
29,10136,2,213.78
29,3371,10,376.7
29,4345,4,16.39
30,10507,4,290.71
30,10567,5,442.22
30,16731,4,353.6
31,7585,10,164.81
32,8108,1,304.69
32,13141,3,324.74
32,19000,3,359.53
33,13812,5,136.07
33,9778,8,490.12
34,2334,4,193.53
34,13001,10,108.34
34,18860,10,19.04
34,16911,1,54.87
35,19910,2,274.48
35,18114,6,13.32
35,496,9,127.61
36,9258,6,218.6
36,17947,1,169.51
36,7022,3,489.57
37,9059,10,34.01
37,13515,8,238.42
38,13151,7,44.4
39,10470,7,99.48
40,18757,6,35.71
40,16346,10,57.05
40,9277,9,43.46
41,8097,4,316.43
41,13391,2,317.53
41,7208,4,126.2
42,15743,6,374.62
42,4060,8,269.86
42,11358,4,201.03
43,13184,6,342.22
44,4836,9,143.89
44,4115,5,474.34
44,12820,2,35.21
44,6336,3,61.09
45,4584,1,293.69
45,18708,2,298.47
