order_id,product_id,quantity,unit_price
11001,7948,3,92.44
11001,9179,4,202.22
11001,7911,3,86.07
11002,1327,6,120.08
11002,1411,1,321.49
11002,16095,2,81.15
11003,19390,8,197.33
11003,4325,3,236.42
11003,15716,3,399.79
11003,13488,10,68.3
11003,19830,1,294.22
11004,702,3,331.51
11004,13676,3,308.94
11004,456,10,238.99
11005,12529,4,138.54
11005,5652,7,159.24
11005,2583,5,353.03
11006,7623,7,423.15
11006,17654,9,56.47
11006,5981,5,82.27
11007,12526,1,166.22
11007,1983,10,119.88
11007,14584,4,452.06
11007,17718,10,202.82
11008,16522,10,442.62
11008,16167,9,420.94
11008,13090,2,403.5
11008,3904,6,352.26
11008,6728,4,442.95
11009,5590,2,436.11
11009,8248,5,414.77
11009,81,9,203.06
11010,2331,8,34.36
11010,14167,10,149.85
11011,17223,1,491.12
11011,10248,8,224.39
11011,11303,8,355.86
11012,7176,3,273.24
11012,11165,2,291.02
11012,14087,8,302.77
11012,11421,8,44.37
11013,1270,10,438.24
11014,10006,4,335.25
11014,19423,3,462.36
11015,19888,1,472.15
11015,10142,8,5.13
11015,7983,10,189.04
11016,19937,2,472.55
11016,230,1,131.68
11016,4497,6,64.15
11016,10164,7,27.84
11017,18111,9,340.54
11017,12592,2,17.36
11017,16528,10,105.85
11017,19962,1,14.0
11018,2500,7,207.36
11018,11809,9,32.7
11018,4411,7,447.83
11019,8613,7,20.32
11019,5019,8,199.46
11019,7346,9,96.12
11019,11160,9,242.49
11019,8264,1,230.56
11020,2261,9,426.54
11020,14917,1,168.47
11020,14555,10,496.76
11020,7607,6,167.15
11020,3585,9,434.72
11021,12788,10,493.74
11021,4707,2,19.55
11021,1194,5,249.04
11022,10182,2,16.4
11023,8649,1,180.42
11023,13300,10,120.05
11023,19355,6,282.04
11024,16992,2,73.21
11024,10009,2,373.72
11024,2990,5,226.73
11024,948,9,173.39
11024,13206,6,281.25
11025,14911,6,146.98
11025,7641,8,150.41
11025,7499,4,173.68
11025,5048,5,201.04
11025,18298,3,180.04
11026,598,5,467.26
11026,13859,2,346.67
11027,19022,7,94.06
11027,1984,3,470.65
11027,1078,6,289.84
11027,351,8,484.97
11028,2788,8,355.77
11028,7234,7,340.8
11028,18089,7,399.6
11029,3993,7,174.47
11029,13938,10,473.58
11029,749,3,441.63
11030,15311,4,41.23
11030,967,2,150.35
11030,6407,2,219.81
11030,6796,7,318.53
11030,17392,1,126.26
11031,11257,1,462.22
11032,4896,3,385.05
11032,12139,3,459.76
11032,1210,1,146.41
11032,1064,10,199.64
11033,13413,10,449.64
11033,3381,4,487.66
11033,13139,5,448.8
11033,8533,3,184.23
11033,19865,6,273.31
11034,7180,7,274.06
11034,1531,8,125.84
11035,9899,7,255.41
11035,6340,10,443.91
11035,6908,3,273.93
11036,9315,9,42.86
11036,7032,2,86.89
11036,12741,7,237.84
11036,4700,9,422.01
11036,8998,4,29.44
11037,14626,7,217.64
11037,13898,3,187.76
11037,18688,3,28.74
11037,11858,2,50.1
11038,1460,7,391.0
11038,18317,3,224.57
11038,6073,7,278.99
11039,8469,3,93.13
11040,1542,4,379.29
11040,6008,2,447.19
11040,18100,10,36.64
11040,9092,10,419.05
11041,8613,8,20.32
11041,2222,4,136.65
11041,452,5,354.1
11041,8852,1,435.96
11042,19500,1,150.55
11042,4091,1,483.56
11042,19968,6,342.08
11042,7554,4,58.46
11043,2760,9,143.63
11043,13044,3,245.01
11043,16212,8,94.64
11044,5954,5,90.86
11044,14083,7,178.59
11044,2254,3,188.62
11044,15674,4,191.26
11044,1559,3,252.9
11045,4367,2,167.48
11045,4579,2,8.61
11045,18954,6,339.46
11045,13564,10,75.08
11045,18389,3,455.83
11046,1021,1,181.35
11046,18718,8,462.25
11046,13424,9,121.45
11047,16564,7,86.94
11047,15705,4,117.13
11047,5795,3,185.21
11047,18027,1,179.39
11048,14290,2,99.22
11048,13333,7,225.82
11048,6533,2,342.99
11048,4808,4,399.97
11048,11565,2,276.7
11049,7975,2,152.18
11050,4620,6,332.57
11050,5630,1,259.69
11051,19724,9,443.75
11051,597,1,426.85
11051,18189,4,22.54
11051,18079,3,153.99
11052,889,9,127.26
11052,6283,10,141.47
11053,3002,9,7.55
11053,4140,6,263.09
11054,16515,7,462.91
11054,6840,7,83.98
11054,199,2,431.58
11054,15506,6,228.18
11055,279,7,201.22
11055,3540,4,201.29
11056,7145,4,188.8
11056,17252,1,299.46
11056,4736,4,168.82
11057,11518,10,374.56
11058,13645,10,244.54
11058,12998,2,116.7
11058,3906,2,295.45
11058,15796,8,492.73
11058,11341,3,347.1
11059,9562,10,377.32
11059,4462,7,165.79
11059,6104,10,415.14
11059,7324,4,222.59
11060,3542,9,228.62
11061,17802,1,369.76
11062,4804,1,161.18
11062,14559,8,166.03
11062,9217,3,350.98
11062,6785,2,280.95
11062,12054,5,158.41
11063,16289,1,309.31
11063,3047,5,10.32
11063,198,6,235.46
11063,11313,7,96.27
11064,16129,4,157.4
11064,9453,3,445.1
11064,16104,10,113.96
11064,4880,3,488.57
11065,19431,6,116.66
11066,8500,2,429.17
11066,9230,1,14.85
11066,11289,4,258.66
11067,9142,9,89.11
11068,4041,10,463.18
11069,5328,2,365.24
11069,799,10,123.72
11069,5455,5,457.2
11069,13755,3,95.16
11070,12892,3,437.61
11070,4110,2,93.53
11070,17240,3,58.64
11071,11421,1,44.37
11071,1354,7,472.01
11071,5616,4,78.73
11072,6592,4,30.18
11073,4904,3,71.5
11073,9696,9,214.75
11074,7455,5,356.26
11074,16377,4,67.58
11074,9828,1,325.89
11074,14056,1,195.2
11075,5049,9,157.51
11075,6391,9,218.21
11075,5154,1,421.03
11075,19818,9,206.54
11076,9914,4,289.21
11076,19669,10,432.5
11076,9775,10,441.44
11076,11108,3,153.2
11077,10254,5,241.82
11077,16607,4,137.4
11078,7149,2,217.04
11078,507,2,330.12
11078,13736,9,457.56
11078,9968,3,191.7
11079,7420,3,328.72
11079,1955,9,115.54
11079,8719,1,476.97
11080,16616,10,321.64
11080,1954,10,109.97
11081,10875,3,498.2
11081,16482,5,190.01
11082,5839,8,80.36
11082,5520,6,30.83
11082,14904,10,179.16
11082,14898,7,425.99
11082,8616,7,254.25
11083,2854,8,62.05
11083,6245,1,175.52
11084,7117,10,277.39
11085,15795,2,30.67
11085,4578,4,339.75
11086,9930,9,147.26
11086,15724,10,90.34
11087,12809,8,485.86
11087,15735,1,262.03
11087,2526,1,357.11
11087,16230,10,426.17
11087,15313,9,118.43
11088,11094,5,449.9
11088,1145,4,170.11
11088,2039,6,171.07
11089,6508,2,304.42
11089,3225,7,268.85
11089,9284,1,291.05
11090,13984,1,185.3
11090,7143,7,100.94
11090,18387,5,482.84
11090,17900,2,60.58
11091,17776,9,260.14
11091,15095,4,440.89
11091,439,6,87.2
11091,10554,7,480.13
11091,19029,7,135.4
11092,202,8,470.72
11092,6547,1,466.02
11093,19694,8,410.73
11093,2695,7,113.11
11093,3474,2,332.57
11094,6299,5,321.43
11094,17990,3,219.18
11094,2231,4,263.64
11094,3213,7,327.22
11095,12169,1,384.95
11095,9293,8,26.02
11095,1148,1,427.78
11095,17418,1,291.1
11095,6860,5,313.83
11096,17980,1,29.08
11096,11023,8,74.63
11096,1574,3,134.85
11096,7539,5,297.85
11097,6153,3,311.19
11097,5684,4,109.02
11097,12990,3,237.06
11097,5303,6,415.63
11098,16019,2,36.42
11098,19917,8,405.94
11098,16872,10,430.04
11098,211,2,197.01
11098,6226,7,79.63
11099,6552,5,86.21
11099,17453,3,395.3
11100,13217,1,255.22
11100,11785,3,20.09
11101,10230,4,427.12
11102,6883,4,215.64
11102,9750,1,154.44
11102,694,4,5.24
11102,14104,7,380.05
11102,15755,8,23.91
11103,2951,7,79.31
11103,1112,8,444.87
11103,13295,8,32.47
11104,692,3,395.4
11104,2837,1,161.2
11104,18299,9,104.11
11105,7095,2,85.8
11105,18500,3,30.84
11105,13910,2,220.02
11105,4522,10,256.25
11106,14479,8,348.44
11106,14716,10,271.35
11107,15313,3,118.43
11107,13340,2,93.51
11108,2991,9,31.98
11108,13763,8,112.21
11108,3186,1,302.73
11108,3504,2,245.46
11109,19515,10,432.72
11109,12313,10,26.94
11110,5063,4,156.82
11111,17449,9,301.2
11111,15804,9,245.88
11111,15498,8,138.21
11112,14258,9,184.31
11112,7343,4,26.9
11112,13532,7,189.83
11112,10575,7,156.27
11113,7335,9,21.34
11113,17758,3,5.33
11113,18998,3,353.5
11114,5447,10,187.51
11114,17539,2,282.2
11114,5683,5,215.64
11115,14408,6,498.69
11115,18761,7,445.49
11116,19127,1,255.73
11117,17645,6,156.07
11117,16140,7,82.44
